#"Step","Potential Energy (kJ/mole)"
100,76.66049194335938
200,58.2899169921875
300,62.8997917175293
400,72.56995391845703
500,69.81578063964844
600,71.22219848632812
700,61.9510383605957
800,49.472442626953125
900,65.0387954711914
1000,72.85820007324219
1100,85.15760803222656
1200,72.65316772460938
1300,89.38147735595703
1400,48.66889572143555
1500,67.06044006347656
1600,63.90425491333008
1700,71.68743133544922
1800,96.26410675048828
1900,64.09942626953125
2000,58.747642517089844
2100,62.7280158996582
2200,53.399959564208984
2300,51.22050094604492
2400,69.55855560302734
2500,60.917022705078125
2600,106.62694549560547
2700,49.54945755004883
2800,65.2149658203125
2900,46.34908676147461
3000,75.19567108154297
3100,65.13042449951172
3200,60.419776916503906
3300,70.6004867553711
3400,85.8788070678711
3500,75.83747863769531
3600,58.548866271972656
3700,76.69157409667969
3800,90.70553588867188
3900,104.89572143554688
4000,73.03175354003906
4100,62.848487854003906
4200,60.753326416015625
4300,52.29684066772461
4400,55.80195617675781
4500,49.37195587158203
4600,51.061500549316406
4700,57.189857482910156
4800,52.58416748046875
4900,78.12577819824219
5000,53.868873596191406
5100,67.96150970458984
5200,51.680519104003906
5300,66.90188598632812
5400,87.45740509033203
5500,56.63139343261719
5600,66.2381591796875
5700,59.25089645385742
5800,78.55473327636719
5900,60.00605010986328
6000,60.75905990600586
6100,57.95107650756836
6200,75.10414123535156
6300,65.00462341308594
6400,68.67091369628906
6500,74.44806671142578
6600,89.00982666015625
6700,60.50651550292969
6800,86.93733978271484
6900,87.24895477294922
7000,47.581478118896484
7100,83.285888671875
7200,64.32445526123047
7300,72.21757507324219
7400,57.385135650634766
7500,46.7629280090332
7600,47.97374725341797
7700,70.72775268554688
7800,53.68193435668945
7900,64.85628509521484
8000,60.17054748535156
8100,76.64505767822266
8200,53.13139343261719
8300,88.11726379394531
8400,57.22892761230469
8500,83.63153076171875
8600,84.18236541748047
8700,77.11387634277344
8800,59.42204666137695
8900,52.13235855102539
9000,44.0543327331543
9100,60.437034606933594
9200,62.468414306640625
9300,81.850341796875
9400,91.48188018798828
9500,97.24150848388672
9600,63.442020416259766
9700,70.1783447265625
9800,62.254112243652344
9900,92.4614028930664
10000,57.99850845336914
10100,76.432861328125
10200,47.911075592041016
10300,65.49085998535156
10400,59.526817321777344
10500,79.13807678222656
10600,58.02739715576172
10700,75.05944061279297
10800,49.913307189941406
10900,47.25006866455078
11000,56.18043518066406
11100,69.33006286621094
11200,78.50083923339844
11300,63.71200942993164
11400,64.11732482910156
11500,78.58716583251953
11600,56.049930572509766
11700,72.58634948730469
11800,73.75973510742188
11900,69.24061584472656
12000,77.60261535644531
12100,89.11022186279297
12200,56.420379638671875
12300,80.87966918945312
12400,63.24639129638672
12500,82.27762603759766
12600,90.33810424804688
12700,71.391845703125
12800,63.02173614501953
12900,47.396339416503906
13000,78.74554443359375
13100,65.22127532958984
13200,51.356651306152344
13300,66.23808288574219
13400,57.05123519897461
13500,40.365936279296875
13600,52.022037506103516
13700,87.36050415039062
13800,66.35330200195312
13900,75.95420837402344
14000,74.17897033691406
14100,92.41007232666016
14200,57.34772872924805
14300,59.71695327758789
14400,62.20734405517578
14500,75.941162109375
14600,59.20226287841797
14700,54.56509780883789
14800,49.2457389831543
14900,97.09332275390625
15000,79.6628646850586
15100,66.15315246582031
15200,86.85631561279297
15300,72.50623321533203
15400,80.32781219482422
15500,75.61258697509766
15600,70.230712890625
15700,67.3659896850586
15800,95.26451110839844
15900,89.01605987548828
16000,57.69707489013672
16100,72.47322845458984
16200,77.9675064086914
16300,84.92909240722656
16400,71.989501953125
16500,56.14674758911133
16600,77.93794250488281
16700,60.61711883544922
16800,59.224082946777344
