#"Step","Potential Energy (kJ/mole)"
100,226.89934055464622
200,223.2684635686416
300,243.4426266822963
400,268.90030811295594
500,180.98774375638052
600,178.30722774946022
700,286.07445013309433
800,128.56120470513733
900,225.178229936467
1000,316.11090418088895
1100,183.02913301350733
1200,382.7461791899889
1300,232.66555874442122
1400,215.93270834665935
1500,265.0021666818135
1600,205.09188012637054
1700,243.86566262619021
1800,256.6166274013497
1900,212.5294064040674
2000,240.86434139400401
2100,240.37033710654657
2200,234.8785255748719
2300,209.1941489603915
2400,217.57695443835806
2500,265.85793840978783
2600,271.59988923091584
2700,232.14700066215931
2800,240.7578649903064
2900,303.22218767188485
3000,281.1683540097377
3100,186.66319787779852
3200,183.3122330679001
3300,218.41944923866367
3400,297.46581100816786
3500,213.00625500526823
3600,221.0848279133288
3700,258.0161173947207
3800,242.1513351136746
3900,271.52581050012094
4000,212.33848716080456
4100,190.41057171720647
4200,212.23022651587434
4300,314.58272316699765
4400,177.6201839459581
4500,256.0063422597135
4600,177.4485325098204
4700,286.49389025721496
4800,250.07393141385077
4900,248.71594915170328
5000,296.96751528130756
5100,195.21482583162535
5200,286.24939107909285
5300,237.10475095614532
5400,178.41174224145934
5500,287.172293335598
5600,164.9143072002003
5700,183.82271681344184
5800,238.11475596201436
5900,259.0168022688005
6000,287.9110511150343
6100,166.78417959734907
6200,269.1998983079896
6300,284.08299172901104
6400,349.0344162838599
6500,213.3255518624612
6600,208.58918888249178
6700,302.95245037764073
6800,262.5704546750552
6900,314.14233653777
7000,296.73502658653837
7100,290.8324032037425
7200,250.46795577521027
7300,165.41311695495358
7400,308.4811555579886
7500,204.95382055562007
7600,261.65790033779274
7700,219.27638047202302
7800,206.45845882089444
7900,201.9025120342762
8000,234.16469722165127
8100,251.25454784239201
8200,250.85736024539878
8300,304.4805247214695
8400,258.8423502580262
8500,159.05450143712548
8600,314.24802622824234
8700,213.34535974082684
8800,256.3619672255644
8900,188.83652180473678
9000,230.13922556981328
9100,151.54454456803822
9200,336.8561124983123
9300,277.9235193229977
9400,286.88447927110076
9500,212.2015305497555
9600,167.90826544169155
9700,245.06958838983408
9800,297.6043007122993
9900,260.71538734963565
10000,253.31444012743913
10100,351.69797803281955
10200,223.1821757927742
10300,272.2387763115419
10400,220.0367425041062
10500,332.00745492485754
10600,271.9953957867845
10700,226.3705153995849
10800,227.7696537656004
10900,190.24958781942593
11000,174.328962545717
11100,345.62913914141524
11200,230.5472384632971
11300,318.69303789478056
11400,285.366447023225
11500,210.38552000560577
11600,213.04319983363368
11700,225.7746771251676
11800,230.61623311276347
11900,262.8342339040274
12000,218.13905664834712
12100,299.788414723469
12200,220.9103267967569
12300,247.2685686192861
12400,228.2014455001081
12500,173.79583485625778
12600,189.4981134489369
12700,173.6477887742282
12800,270.76011707596496
12900,343.9633357012078
13000,268.3863319427936
13100,171.05527935908086
13200,201.17348397671847
13300,212.3818095717057
13400,194.25201486809036
13500,270.2557708960938
13600,195.7441128725388
13700,227.9000637156078
13800,209.36230962322765
13900,142.63292115350416
14000,177.52905328580204
14100,266.49927443029827
14200,155.90820990813
14300,246.85433751000127
14400,262.05217216143535
14500,211.33035119501463
14600,305.10908598559087
14700,246.6391944655633
14800,236.60409048001216
14900,248.1383381454098
15000,246.62205372960526
15100,186.9439122943446
15200,212.3562886189518
15300,202.96900477438498
15400,267.00436503379166
15500,137.429835916568
15600,234.51198754186518
15700,174.52471584794964
15800,254.79635713619004
15900,214.72562743120525
16000,390.80993817880665
16100,256.86823422966626
16200,201.09737466045783
16300,217.28742383430412
16400,212.5920267553568
16500,240.9924189093146
16600,387.49835439783925
16700,220.2510180539699
16800,227.51175106464999
16900,127.23182428223734
17000,222.54978234160941
17100,226.05237294652736
17200,181.08232648540854
17300,265.28324968043944
17400,419.99049939571154
17500,204.49742405371848
17600,303.9328915799828
17700,200.39879804367808
17800,270.0212868470055
17900,230.94971394497765
18000,236.68450395536973
18100,199.43275634998292
18200,227.65000037341105
18300,251.19758913959538
18400,277.7712083372633
18500,296.33549488813094
18600,236.66151235346064
18700,263.7790777119222
18800,171.70490119098778
18900,283.24026792653825
19000,268.7284149712354
19100,200.50688348675902
19200,209.09185963353175
19300,244.58493183430264
19400,163.44935309703905
19500,159.11398738313233
19600,211.3464508039275
19700,251.06806402388318
19800,200.32254420178208
19900,229.47033192915853
20000,144.83375254461427
20100,231.91518421341817
20200,266.15413295504027
20300,255.30435444597475
20400,191.7834797102754
20500,215.90405700127388
20600,185.29082086159002
20700,278.52346751568547
20800,244.5216175545371
20900,321.02893385066295
21000,311.9019983334997
21100,238.71769853871263
21200,140.27749160943847
21300,246.6652424881972
21400,265.4175982054518
21500,154.94445278776692
21600,303.69554617062596
21700,330.24517871414986
21800,208.8595518030778
21900,272.2324961544353
22000,203.61623460223004
22100,223.87202358746256
22200,233.31596956660962
22300,253.77386267863142
22400,210.32936180647795
22500,238.3425155917874
22600,200.12630769210912
22700,233.85231171054429
22800,253.95174410238687
22900,208.53779968139003
23000,195.1643797011515
23100,175.45587712914022
23200,205.52590218475166
23300,169.06362273676336
23400,262.7919480268766
23500,255.94665966075394
23600,258.6929900357818
23700,260.68618318465747
23800,201.979258696319
23900,345.4879926540748
24000,225.63942463715705
24100,231.06933412439102
24200,206.8309450607718
24300,247.88596940417986
24400,264.9332914381641
24500,299.838340495833
24600,164.21458456771714
24700,230.94534992924773
24800,217.09375374628948
24900,241.82898911449269
25000,248.67819388818336
25100,233.78335531431674
25200,243.06901880390905
25300,174.35938028004549
25400,302.5075836420225
25500,277.2464866470419
25600,190.56573613558143
25700,219.6740875508769
25800,318.30075753053575
25900,242.26165868429734
26000,223.1359975271978
26100,167.10666775159757
26200,255.5789764860542
26300,207.2756519958032
26400,221.18801541331155
26500,240.12727868333107
26600,181.81382832043403
26700,255.3658699957583
26800,200.2474986152225
26900,251.43854079098094
27000,290.46269088845634
27100,173.18150473015237
27200,248.53216406772108
27300,201.681407048743
27400,262.90836203423453
27500,173.49800807562622
27600,267.78307341174656
27700,179.18541125111363
27800,203.39533770474782
27900,237.98427289288867
28000,222.92544811445237
28100,337.18733839914756
28200,260.56849204929756
28300,228.75575811590207
28400,345.7150266465068
28500,214.35062806583034
28600,221.21315116691912
28700,288.9206752768762
28800,215.06032009998154
28900,178.42210308514348
29000,227.02345738271697
29100,218.3081656968424
29200,231.84812103468568
29300,247.37023165772607
29400,203.98570586697764
29500,196.33301931132755
29600,240.4968576060772
29700,169.8880078753512
29800,179.12793864099075
29900,184.21924108527617
30000,221.55836755632444
30100,293.57974629703955
30200,358.2093112465376
30300,365.6386811445331
30400,211.77212185794875
30500,303.97312681261957
30600,257.7489942303178
30700,255.07642328961913
30800,183.85031903458486
30900,169.99791631412123
31000,262.2472347647179
31100,231.57284591395205
31200,295.06264451754856
31300,268.54566342217737
31400,214.7430390207942
31500,202.42455380367835
31600,238.3833006172907
31700,181.73161077872908
31800,174.35878414288328
31900,228.149043107005
32000,156.20575567266036
32100,332.8085731614053
32200,155.70276597871964
32300,264.26400043462087
32400,245.87543966287583
32500,205.63997904451705
32600,401.5357627754895
32700,169.85625653698403
32800,193.59533326311865
32900,239.75848441005365
33000,210.12023787502613
33100,234.3515763238383
33200,208.03400169851705
33300,261.6262416938207
33400,247.20499611979494
33500,280.50685424777913
33600,239.34228353900758
33700,211.9830911534714
33800,194.24778818160019
33900,233.75589882441668
34000,198.92395112946627
34100,212.62818738022895
34200,210.91867574400004
34300,313.33050473043556
34400,266.3329426322907
34500,182.25087187782398
34600,158.67332072771944
34700,178.03550399884514
34800,253.45033680640051
34900,266.33431980941447
35000,280.83578705946013
35100,169.6429923936255
35200,195.28585642353477
35300,361.03185425792924
35400,296.1575838384544
35500,144.08811323080326
35600,232.26198043031204
35700,175.27283571532286
35800,248.85041881629792
35900,238.41647303490504
36000,324.3431822047624
36100,151.32245281551013
36200,209.08646976063088
36300,196.27207415767654
36400,244.81312757420324
36500,200.76651098324106
36600,266.84022462216063
36700,194.2533019492653
36800,214.54138726602565
36900,177.92248040447583
37000,317.9567714655227
37100,221.46511070039196
37200,180.2363704730824
37300,260.29655901636664
37400,196.32680533638336
37500,272.9474180444678
37600,150.858520578102
37700,250.21198880437984
37800,268.26306138301305
37900,289.92448178823963
38000,243.0973248635575
38100,178.90005878678465
38200,199.74537984865617
38300,252.42296047259023
38400,232.66330488818818
38500,248.43928532901765
38600,365.08211451762656
38700,304.922052706842
38800,345.2622779959031
38900,200.09673755575122
39000,345.47536354677146
39100,298.8154605627965
39200,182.75747947857502
39300,176.18718820439682
39400,207.42314748743135
39500,219.62299687924045
39600,173.20313606501077
39700,229.31102298090295
39800,224.23907468189034
39900,205.86120860229832
40000,215.86539958751453
40100,236.05928271191536
40200,303.0820017750304
40300,231.92521497636602
40400,206.9554042137391
